Gene,Mean_Cancer,Mean_Normal,Log2FC,T_Statistic,P_Value,Adjusted_P_Value,Regulation
203543_s_at,9.283411719723402,11.318634158990001,-2.035222439266599,-18.443294594142465,2.39374839635243e-43,2.457063955080378e-41,Downregulated
204018_x_at,9.264564173095744,13.5864306546,-4.321866481504257,-20.151651303996868,2.437526236976237e-43,2.4972340225143597e-41,Downregulated
204894_s_at,9.631306452712765,13.090941024000001,-3.4596345712872356,-21.661732409558937,2.501246628849233e-43,2.5576435585415366e-41,Downregulated
211745_x_at,9.540799218829786,13.767129226100002,-4.2263300072702155,-20.209812750048087,2.5439457143661835e-43,2.596369339523711e-41,Downregulated
213900_at,5.436355812925531,8.83171490913,-3.3953590962044684,-20.527935548343734,2.555315667341083e-43,2.6030342515834754e-41,Downregulated
203088_at,7.869533049925532,10.702790314829999,-2.833257264904467,-20.255153190361455,2.5828226019865743e-43,2.62608121872306e-41,Downregulated
226492_at,5.66682153337234,8.820657853930001,-3.1538363205576614,-19.396499991941393,2.6728529897692552e-43,2.712491903919418e-41,Downregulated
225673_at,10.64147051392553,12.640397134899999,-1.9989266209744692,-18.544113473170352,2.791264659750589e-43,2.8273250657127157e-41,Downregulated
242283_at,6.377459309446809,3.384542726770001,2.992916582676808,22.444294516139458,2.8785865695973037e-43,2.9102943088789583e-41,Upregulated
204200_s_at,4.993056995148936,6.93190328613,-1.938846290981064,-18.07308646642288,2.938903331702633e-43,2.9657008367534297e-41,Downregulated
213895_at,3.4781157485212773,6.70951728106,-3.231401532538723,-18.048670506631147,3.3747143221556497e-43,3.3991083245592466e-41,Downregulated
226268_at,7.015499293553193,8.1261103589,-1.1106110653468075,-18.15583620199283,4.118426342270705e-43,4.140442602717236e-41,Downregulated
224862_at,10.033013495638297,11.23171312813,-1.198699632491703,-20.22367777828881,4.496165044023456e-43,4.5033656062913525e-41,Downregulated
206289_at,5.041555800085107,7.24681514068,-2.2052593405948926,-18.899545325217794,4.4883794022202175e-43,4.5033656062913525e-41,Downregulated
228731_at,6.457765588787234,9.597378258849998,-3.139612670062764,-20.248491444151387,4.5605168851727414e-43,4.559330133566934e-41,Downregulated
228302_x_at,3.5886935175638293,7.075984633800001,-3.4872911162361717,-19.09592838431975,4.608785805187402e-43,4.599038094950085e-41,Downregulated
200762_at,11.914828433723402,13.575342643199999,-1.660514209476597,-21.177733749023574,5.129326665328832e-43,5.104357766958641e-41,Downregulated
225426_at,8.334587993978722,9.53152624738,-1.196938253401278,-19.224454255886716,5.134156754405653e-43,5.104357766958641e-41,Downregulated
232049_at,3.179654362031914,4.8688602157,-1.6892058536680858,-18.037574674647324,5.416388445407034e-43,5.375016031820345e-41,Downregulated
224061_at,7.370131359053192,11.640870385340003,-4.270739026286811,-21.635218275196582,5.660318325399451e-43,5.606738148249261e-41,Downregulated
234998_at,7.370666453138298,9.239930429570002,-1.8692639764317036,-19.331680973572837,6.4463998968291385e-43,6.373640897993604e-41,Downregulated
224861_at,9.382213252202126,10.839387569640001,-1.4571743174378753,-20.045359734159764,6.491721596116243e-43,6.406674087499233e-41,Downregulated
212111_at,9.971415302553192,11.050311044499999,-1.0788957419468073,-19.544791986938364,6.5285088006103515e-43,6.43117901739246e-41,Downregulated
220936_s_at,3.9234610133723407,5.82038073851,-1.8969197251376593,-18.658221471274395,6.83851831702265e-43,6.724251301634009e-41,Downregulated
1552422_at,3.9132976491595746,5.53002737364,-1.6167297244804257,-18.044335569394768,7.051566831192132e-43,6.921087109169709e-41,Downregulated
213381_at,5.037307368468086,6.417662135289999,-1.3803547668219132,-18.5586711518222,7.216221668430465e-43,7.069794146779617e-41,Downregulated
219719_at,4.840761816127659,8.749892893470001,-3.9091310773423418,-21.791436819578067,7.713741226812426e-43,7.543477920460602e-41,Downregulated
203980_at,7.460530829500001,12.681320256500003,-5.220789427000002,-20.719530911102705,7.805595251582614e-43,7.619450929249047e-41,Downregulated
208611_s_at,8.874264407808509,10.41393648237,-1.5396720745614907,-18.34314353155228,7.977823314451471e-43,7.773463854910993e-41,Downregulated
226280_at,8.56139722856383,9.96268409802,-1.40128686945617,-19.059910685503212,8.4042953148881e-43,8.174203034476877e-41,Downregulated
235210_s_at,3.3446690175212774,6.29506449395,-2.9503954764287226,-19.08194236078547,8.519483845683213e-43,8.271280832561683e-41,Downregulated
214265_at,5.926155111851064,9.23830071772,-3.3121456058689356,-19.962765918465287,8.825100197048599e-43,8.552555661233441e-41,Downregulated
201150_s_at,11.496015835829787,14.116753257900003,-2.6207374220702153,-20.280197796890324,9.071850359223101e-43,8.775873083114635e-41,Downregulated
230472_at,4.464478529510639,7.48880065507,-3.0243221255593618,-18.76523345206326,9.830125006031606e-43,9.492335791282153e-41,Downregulated
202781_s_at,6.429926812478723,7.771926238909999,-1.3419994264312756,-18.251996414640374,9.961539123435418e-43,9.601995399517875e-41,Downregulated
206027_at,3.4917989002340426,6.636961495159999,-3.145162594925956,-18.941207985831415,1.0188774181422101e-42,9.803459894847391e-41,Downregulated
209311_at,7.794546039904255,9.05103943092,-1.256493391015744,-18.646097352352534,1.048861400224844e-42,1.0055982045007746e-40,Downregulated
213364_s_at,8.980835109968085,10.774194709919998,-1.7933595999519127,-19.132373995103304,1.0476283842782044e-42,1.0055982045007746e-40,Downregulated
240715_at,7.682908008606384,10.09448478724,-2.4115767786336164,-19.449479576735715,1.0512614190356973e-42,1.006105812887082e-40,Downregulated
229518_at,4.40081411081915,7.535652449810001,-3.1348383389908507,-20.048969602535916,1.076855289944681e-42,1.0287697801947533e-40,Downregulated
226864_at,3.8516417510851064,6.58078289841,-2.7291411473248934,-18.7913407156072,1.0926003355854957e-42,1.040116843359318e-40,Downregulated
212328_at,11.124188374000003,13.3518222546,-2.2276338805999973,-20.069189178576977,1.092378964188406e-42,1.040116843359318e-40,Downregulated
1555878_at,8.11200096469149,5.177292660520001,2.9347083041714885,17.865609665504117,1.1051805915499324e-42,1.0483817159983186e-40,Upregulated
224352_s_at,8.646186602053193,10.337383840509998,-1.6911972384568053,-20.182059895676215,1.1038506686606055e-42,1.0483817159983186e-40,Downregulated
203744_at,9.96990555475532,6.35640760356,3.6134979511953196,22.056040285038033,1.113851550736797e-42,1.0547468223227e-40,Upregulated
229839_at,4.173527900393617,8.33858265678,-4.1650547563863825,-19.021752803446724,1.1385653530265574e-42,1.0762544126166328e-40,Downregulated
219866_at,6.937050854648937,11.266036361890004,-4.328985507241067,-22.006936682435366,1.2349682885635604e-42,1.165333409976836e-40,Downregulated
226731_at,8.198880264329787,10.49177848484,-2.292898220510212,-19.57771281970162,1.410050995992666e-42,1.328213710515964e-40,Downregulated
202506_at,9.505102309680852,10.766407629380002,-1.261305319699149,-18.908361050667477,1.4331587772971053e-42,1.3476202446801067e-40,Downregulated
219993_at,4.821509995755319,7.561172742569999,-2.7396627468146804,-17.833501227660488,1.4847994167148515e-42,1.3937420842482549e-40,Downregulated
200911_s_at,10.61188913325532,12.2707414976,-1.6588523643446802,-21.330775183117392,1.5538545477014172e-42,1.456021266597011e-40,Downregulated
214460_at,2.5878723193510633,4.75448686794,-2.1666145485889365,-19.32959929709188,1.5949021962002825e-42,1.491885383040494e-40,Downregulated
227620_at,7.411112721989362,8.97029996575,-1.559187243760638,-18.147266236954675,1.6378605342324758e-42,1.529409143997013e-40,Downregulated
232578_at,6.092720221329787,12.436282586800003,-6.343562365470215,-22.813650712516047,1.775263709483544e-42,1.6548411417379877e-40,Downregulated
218820_at,6.979148814776596,9.833206251900002,-2.854057437123406,-20.04263392363853,1.780867804626049e-42,1.6571930058757208e-40,Downregulated
202796_at,8.114582927670213,10.23356729667,-2.1189843689997865,-20.607308797726468,1.8020370808040302e-42,1.673995965943447e-40,Downregulated
209283_at,6.7626795786382985,9.72035687592,-2.957677297281702,-20.22819112805866,1.9920386412561773e-42,1.8473067303207716e-40,Downregulated
205357_s_at,4.942231767914893,9.02557672382,-4.083344955905107,-21.19925632108105,2.180460748627055e-42,2.0150904093755116e-40,Downregulated
213169_at,4.620971885159574,8.24021349016,-3.6192416050004264,-19.679535872595693,2.1778872426606527e-42,2.0150904093755116e-40,Downregulated
212730_at,5.9523691065106386,9.026897456959999,-3.07452835044936,-20.05502863236553,2.2622121656658107e-42,2.087055635377381e-40,Downregulated
223623_at,5.235980623414894,9.646629419359998,-4.410648795945105,-19.02302184270928,2.287779242641136e-42,2.107029012751646e-40,Downregulated
243225_at,3.4776933403510633,5.05239679144,-1.5747034510889364,-18.096617612759953,2.3821293737508612e-42,2.1901745384028004e-40,Downregulated
235670_at,5.451790070893617,8.86906410364,-3.4172740327463824,-21.475124542919502,2.398772148885392e-42,2.201712607507674e-40,Downregulated
202722_s_at,10.401152723531915,8.82403371833,1.577119005201915,20.831026550681287,2.5375400008415926e-42,2.3251128873128776e-40,Upregulated
226304_at,3.4238985140425533,6.0632449073300005,-2.6393463932874472,-18.61343823950264,2.6760361199254624e-42,2.447844876637941e-40,Downregulated
230803_s_at,3.067966146340425,4.7569799788500005,-1.6890138325095756,-18.10889109807229,2.7757953647332067e-42,2.5347865787358276e-40,Downregulated
218736_s_at,6.020630509723404,9.05292457341,-3.032294063686596,-20.778702642022534,2.838056500009088e-42,2.5872492696523527e-40,Downregulated
227463_at,5.424549395425533,8.26268934636,-2.838139950934467,-18.61328478574167,2.8694250744477712e-42,2.6114195779060548e-40,Downregulated
