Gene,Mean_Cancer,Mean_Normal,Log2FC,T_Statistic,P_Value,Adjusted_P_Value,Significant,Regulation,Gene Symbol,Gene Title,Display_Name
208190_s_at,10.31809641926596,9.24582189566,1.0722745236059588,9.193564997406531,2.1686214684195658e-16,1.9877551857603064e-15,True,Upregulated,LSR,lipolysis stimulated lipoprotein receptor,LSR
219208_at,3.343171684734043,2.27099910502,1.0721725797140431,9.597284737358674,1.280705892382258e-15,1.098103732307861e-14,True,Upregulated,FBXO11,F-box protein 11,FBXO11
201690_s_at,11.911558788351066,10.839506540399995,1.0720522479510706,12.693814629619188,6.053798743722698e-24,1.0857273065350753e-22,True,Upregulated,TPD52,tumor protein D52,TPD52
209222_s_at,9.24431149730851,8.17227338148,1.0720381158285104,13.804521391147823,2.039794062290616e-25,4.1779270157792494e-24,True,Upregulated,OSBPL2,oxysterol binding protein-like 2,OSBPL2
222532_at,8.070517179351064,6.998483779279999,1.0720334000710654,11.570871507896278,1.7714346143039348e-22,2.8039547429355924e-21,True,Upregulated,SRPRB,"signal recognition particle receptor, B subunit",SRPRB
223991_s_at,8.394310049531915,7.32271450623,1.0715955433019158,11.596043412647168,1.2627034823174637e-22,2.024315037255651e-21,True,Upregulated,GALNT2,polypeptide N-acetylgalactosaminyltransferase 2,GALNT2
217145_at,5.0378298255,3.9667194791400004,1.0711103463599998,6.305678722062867,3.440108926555407e-09,1.5369191687325287e-08,True,Upregulated,IGK,immunoglobulin kappa locus /// immunoglobulin kappa constant,IGK
235947_at,3.5890910653297876,2.51877525761,1.0703158077197874,5.319143253457063,5.581428082160318e-07,1.972033704441141e-06,True,Upregulated,LOC101930067,uncharacterized LOC101930067,LOC101930067
212378_at,8.69141524619149,7.621243935459998,1.0701713107314914,17.35573127256759,1.4469770625811992e-38,9.977834395896459e-37,True,Upregulated,GART,"phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase",GART
1569652_at,4.941905133265958,3.87196095162,1.0699441816459574,5.6886505154330225,8.052147151518944e-08,3.1164480585133335e-07,True,Upregulated,MLLT3,"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 3",MLLT3
202533_s_at,5.8757621077234035,4.80620738602,1.0695547217034038,7.430423259854471,4.662458810460735e-12,2.7925947614637094e-11,True,Upregulated,DHFR,dihydrofolate reductase,DHFR
203999_at,3.614143081180851,2.544749101900001,1.06939397928085,5.677826509017923,9.444569029415993e-08,3.6258785854116245e-07,True,Upregulated,SYT1,synaptotagmin I,SYT1
232169_x_at,7.658731535510637,6.58946262433,1.0692689111806368,7.022863505269398,4.9751416356233033e-11,2.688295841004973e-10,True,Upregulated,MIR4691,"microRNA 4691 /// microRNA 7113 /// NADH dehydrogenase (ubiquinone) Fe-S protein 8, 23kDa (NADH-coenzyme Q reductase)",MIR4691
213596_at,7.008628912489361,5.940137893970001,1.0684910185193601,6.908187028003005,9.513521248854584e-11,4.993113328365464e-10,True,Upregulated,CASP4,"caspase 4, apoptosis-related cysteine peptidase",CASP4
228785_at,10.027209420680851,8.96038458037,1.0668248403108507,14.548406292497749,1.8979435235497648e-28,5.0511029370434264e-27,True,Upregulated,ZNF281,zinc finger protein 281,ZNF281
230441_at,3.5306870570851063,2.46416875662,1.0665183004651064,7.863647484568696,5.272586468114737e-12,3.141590071718392e-11,True,Upregulated,PLEKHG4B,"pleckstrin homology domain containing, family G (with RhoGef domain) member 4B",PLEKHG4B
220468_at,3.3078955900319142,2.24166606831,1.0662295217219144,4.76790827553818,6.66449160512613e-06,2.090124463401248e-05,True,Upregulated,ARL14,ADP-ribosylation factor-like 14,ARL14
210858_x_at,8.958812953957446,7.892645212810001,1.0661677411474457,9.075662015483994,4.722930006400567e-16,4.212728247500181e-15,True,Upregulated,ATM,ATM serine/threonine kinase,ATM
223423_at,10.41531214919149,9.34920655498,1.0661055942114892,7.807107228128293,2.3379523643382153e-12,1.4425732002787111e-11,True,Upregulated,GPR160,G protein-coupled receptor 160,GPR160
214005_at,9.086210874265957,8.02072278507,1.0654880891959575,12.155512858062156,6.26892963081906e-23,1.0339792981393254e-21,True,Upregulated,GGCX,gamma-glutamyl carboxylase,GGCX
229202_at,6.688038656978726,5.622741183710001,1.0652974732687248,9.90342080255574,1.1178315300360208e-17,1.1553360237224715e-16,True,Upregulated,PCNXL2,pecanex-like 2 (Drosophila),PCNXL2
212036_s_at,10.775006663723403,9.71007694153,1.064929722193403,10.862016478516283,1.0526461512591525e-19,1.3078684659649983e-18,True,Upregulated,PNN,"pinin, desmosome associated protein",PNN
236561_at,5.773515704117021,4.70871849625,1.064797207867021,5.17957787199354,6.342965277262038e-07,2.2279287559773787e-06,True,Upregulated,TGFBR1,"transforming growth factor, beta receptor 1",TGFBR1
210058_at,8.719794685521277,7.65515804935,1.0646366361712776,13.18331340741213,8.882409378041625e-27,2.0469120428763788e-25,True,Upregulated,MAPK13,mitogen-activated protein kinase 13,MAPK13
55093_at,7.989131202287234,6.92453719652,1.0645940057672334,13.641177172287343,4.136597404440516e-27,9.792738908241091e-26,True,Upregulated,CHPF2,chondroitin polymerizing factor 2,CHPF2
223249_at,9.381765244308509,8.317674914119998,1.0640903301885114,12.860368882108958,2.7878882501454746e-25,5.6245070300946924e-24,True,Upregulated,CLDN12,claudin 12,CLDN12
225716_at,9.565820804393617,8.501741647820001,1.0640791565736158,13.94272031337794,4.058040120596419e-27,9.627955268037009e-26,True,Upregulated,BRI3BP,BRI3 binding protein,BRI3BP
208368_s_at,4.584641837021278,3.5207977024300003,1.0638441345912772,9.71138073856434,2.4246994567762786e-17,2.427226595610812e-16,True,Upregulated,BRCA2,"breast cancer 2, early onset",BRCA2
244023_at,5.33723259780851,4.2740505425399995,1.06318205526851,7.66639914544672,3.5770314598137267e-12,2.1673337174444195e-11,True,Upregulated,SYK,spleen tyrosine kinase,SYK
225656_at,7.599290566095746,6.536470335130002,1.0628202309657437,5.795238179569385,3.217117318946433e-08,1.3017067036549527e-07,True,Upregulated,EFHC1,EF-hand domain (C-terminal) containing 1,EFHC1
200910_at,11.880608838723402,10.817962329600002,1.0626465091234003,18.13455676331186,1.6262161704824372e-35,8.166915307709465e-34,True,Upregulated,CCT3,"chaperonin containing TCP1, subunit 3 (gamma) /// uncharacterized LOC101927137",CCT3
229095_s_at,4.637561692776596,3.576771919359999,1.0607897734165967,4.51413807552597,1.5107879311101192e-05,4.545717143806717e-05,True,Upregulated,LIMS3-LOC440895,LIMS3-LOC440895 readthrough /// glycosylphosphatidylinositol anchor attachment protein 1 homolog (yeast) pseudogene /// two pore channel 3 pseudogene /// two pore channel 3 pseudogene,LIMS3-LOC440895
231108_at,7.035768994446809,5.975196737929999,1.06057225651681,5.660303696129676,5.740994195885535e-08,2.2595134920232648e-07,True,Upregulated,FUS,FUS RNA binding protein,FUS
205248_at,5.9740608828085096,4.9135183082000005,1.060542574608509,10.687658907828292,3.4659866147089586e-19,4.099880273999034e-18,True,Upregulated,DOPEY2,dopey family member 2,DOPEY2
234459_at,3.6981513282446814,2.6376572662200006,1.0604940620246808,8.455045963078922,1.425119496548185e-13,9.958924197696315e-13,True,Upregulated,PPHLN1,periphilin 1,PPHLN1
214722_at,11.069537007297873,10.00926579767,1.0602712096278726,7.506396648870313,9.301806004702533e-12,5.4175088009629716e-11,True,Upregulated,NOTCH2NL,notch 2 N-terminal like,NOTCH2NL
241803_s_at,5.230206185531916,4.17006806402,1.0601381215119163,5.042730080579304,1.2568556636190602e-06,4.267485557945506e-06,True,Upregulated,LOC101928102,putative uncharacterized protein LOC401522-like /// uncharacterized LOC102723678 /// uncharacterized LOC102723709,LOC101928102
239552_at,3.3177318242872333,2.25767974755,1.0600520767372332,5.752431606333808,1.0784950862257199e-07,4.117542355745071e-07,True,Upregulated,VWDE,von Willebrand factor D and EGF domains,VWDE
238164_at,5.335456088872341,4.275546354699999,1.0599097341723418,8.590754253302482,1.3640357939476328e-14,1.0574521362534934e-13,True,Upregulated,USP6NL,USP6 N-terminal like /// USP6NL intronic transcript 1 (non-protein coding),USP6NL
201231_s_at,13.285850887446806,12.226145031600002,1.0597058558468042,16.121688182247848,2.987962942484609e-33,1.2156624419400693e-31,True,Upregulated,ENO1,"enolase 1, (alpha)",ENO1
